restaurant_id,district,r_name,r_latitude,r_longitude,rating,category,address
ChIJo0VfcblXqEcRyRSsxk1J354,Charlottenburg_North_1_1,Gastronomie des SC-Gothia,52.51182179999999,13.1937593,4.0,restaurant,"Bocksfeldstraße 21, Berlin"
ChIJKXEgmqZXqEcRRj2Q8Cbh3LQ,Charlottenburg_North_1_2,Nevios Werft Casino,52.5121586,13.2043704,4.4,restaurant,"Heerstraße an der Freybrücke, Heerstraße 200, Berlin"
ChIJL44NTgRXqEcRFPV6p3TmWxk,Charlottenburg_North_1_2,"Fischbrötchen, Räucherfisch, Backfisch",52.5119795,13.2039236,4.8,meal_takeaway,"Unnamed Road, Berlin"
ChIJ_ZHhVF5XqEcRhCKXtwHk1Zg,Charlottenburg_North_1_2,Waldschänke am Stößensee,52.51036849999999,13.2084776,4.4,meal_takeaway,"Heerstraße 185, Berlin"
ChIJGcka0R5XqEcRHbdN2VpRgz0,Charlottenburg_North_1_5,Wurstmax Biergarten,52.5127182,13.2438583,4.6,bar,"Trakehner Allee 6, Berlin-Bezirk Charlottenburg-Wilmersdorf"
ChIJGTP_rhdXqEcRMzdSkSSg8Zk,Charlottenburg_North_1_5,Winter Wunderland beim Holländer - Eisbahn,52.513352,13.2456295,3.9,bar,"Trakehner Allee 1A, Berlin"
ChIJ6_5ucxlXqEcRl1WOrQWISCI,Charlottenburg_North_1_5,Olympia-Eck,52.51192,13.24082,4.7,cafe,"Flatowallee 28, Berlin-Bezirk Charlottenburg-Wilmersdorf"
ChIJIQLxqSlXqEcR4VIvx2Ky9qo,Charlottenburg_North_1_7,Ristorante Piccolo Mondo,52.512361,13.2679368,4.5,restaurant,"Reichsstraße 9, Berlin"
ChIJXeZZFClXqEcRukhuQ4V18Uk,Charlottenburg_North_1_7,mlooi-sushi (Mateo-Looi Sushi Restaurant),52.5114946,13.2682324,4.7,restaurant,"Reichsstraße 102, Berlin-Bezirk Charlottenburg-Wilmersdorf"
ChIJLxtSkytXqEcRPY8Sscpcrqw,Charlottenburg_North_1_7,Bäcker Wiedemann – Bäckerei Charlottenburg-Wilmersdorf,52.5101979,13.2722725,4.0,bakery,"Theodor-Heuss-Platz 8, Berlin-Bezirk Charlottenburg-Wilmersdorf"
ChIJUbIv7CtXqEcROFoT1k4mxm0,Charlottenburg_North_1_7,Habel' s Lindenwirtin,52.510617,13.271694,4.4,restaurant,"Lindenallee 28, Berlin-Bezirk Charlottenburg-Wilmersdorf"
ChIJBXjuBSlXqEcRCGEkyIgNY2Y,Charlottenburg_North_1_7,Specialità Italiane VIA VAI,52.512276,13.2680161,4.5,store,"Reichsstraße 9, Berlin"
ChIJmXldSv5QqEcRWgeqefVwkmk,Charlottenburg_North_1_7,Joes Wirtshaus | Restaurant in Berlin,52.5099175,13.2708738,4.2,restaurant,"Theodor-Heuss-Platz 10, Berlin-Bezirk Charlottenburg-Wilmersdorf"
ChIJqfomdtlQqEcRDbh3R4hqQiY,Charlottenburg_North_1_7,Vino Greco,52.51157249999999,13.2697402,4.6,liquor_store,"Reichsstraße 5, Berlin"
ChIJ_ZmuaABXqEcR_CaHCv9kAEc,Charlottenburg_North_1_7,Charlottenburger Botschaft,52.51149770000001,13.2696993,4.7,restaurant,"Reichsstraße 5, Berlin"
ChIJ8Rt_UgBXqEcRKgvkz939bUo,Charlottenburg_North_1_7,Pho Reis Vietnamesisches Restaurant,52.5107781,13.2706202,4.7,restaurant,"Reichsstraße 3, Berlin"
ChIJO0aVKQBXqEcRMhlUxwgNfSs,Charlottenburg_North_1_7,Prime Pizza,52.51032490000001,13.2713164,4.6,meal_takeaway,"Reichsstraße 1, Berlin"
