restaurant_id,district,r_name,r_latitude,r_longitude,rating,category,address
ChIJGQg89gJRqEcRCqNOJs3vuXw,Kreuzberg_1_1,aerde restaurant,52.4870676,13.3734857,4.7,restaurant,"Am Lokdepot 6, Berlin"
ChIJfVBQakpRqEcRJInqSL0D16M,Kreuzberg_1_1,Pizza,52.4851971,13.3744284,,meal_takeaway,"Dudenstraße 76, Berlin"
ChIJFbdoFSNQqEcR214hCmAD0mA,Kreuzberg_1_2,Sushi For You,52.4853117,13.3752784,3.7,restaurant,"Dudenstraße 72, Berlin-Bezirk Friedrichshain-Kreuzberg"
ChIJ0yhkUM5RqEcRKDdra68QIQU,Kreuzberg_1_2,Oshione,52.486089,13.3762882,4.5,bakery,"Katzbachstraße 25, Berlin"
ChIJpWoeDtBRqEcRN6EGeKleww8,Kreuzberg_1_2,Gon 80 Vietnamese Cuisine Restaurant,52.4857664,13.3751599,4.8,restaurant,"Eylauer Straße 16, Berlin"
ChIJH6gtbQBRqEcR11yRGoD-OxA,Kreuzberg_1_2,Bok Bok Chicken Kreuzberg,52.4853117,13.3752784,3.3,restaurant,"Dudenstraße 72, Berlin"
ChIJM8YpfCRQqEcRt2IH0RTLCRw,Kreuzberg_1_2,Golgatha Biergarten,52.4867247,13.3786009,4.3,bar,"Katzbachstraße &, Monumentenstraße, Berlin"
ChIJ-RJoHCRQqEcRkNyhnAppR7s,Kreuzberg_1_3,Kaisermahl Gesellschaft gastronomische Einrichtungen mbH,52.48692399999999,13.3817442,5.0,meal_takeaway,"Am Weinhang 10, Berlin-Bezirk Friedrichshain-Kreuzberg"
ChIJR5X0cEVRqEcRh4RMYMXn1BU,Kreuzberg_1_3,REWE To Go bei Aral,52.4846301,13.3814268,4.3,supermarket,"Aral, Dudenstraße 19, Berlin-Bezirk Tempelhof-Schöneberg"
ChIJy0g2NXAjZUERDBMVKguqOUI,Kreuzberg_1_4,Café do Brasil,52.485322,13.3853269,4.6,cafe,"Dudenstraße 2, Berlin-Bezirk Friedrichshain-Kreuzberg"
ChIJg9_w3iBQqEcRExo_M-le9to,Kreuzberg_1_4,Bistro Nazar 27,52.48446569999999,13.3852184,4.5,meal_takeaway,"Manfred-von-Richthofen-Straße 2, Berlin"
ChIJa_6JIK5RqEcRX9Dy_TJUTL4,Kreuzberg_1_4,Guacamole,52.4851164,13.384907,2.6,restaurant,"Dudenstraße 6, Berlin-Bezirk Friedrichshain-Kreuzberg"
