restaurant_id,district,r_name,r_latitude,r_longitude,rating,category,address
ChIJF6VjuqxRqEcRiTGE53QfKHE,Mitte_1_1,Hugos,52.5071348,13.3449058,4.7,restaurant,"Budapester Straße 2, Berlin"
ChIJ3bFmt6tRqEcR5H-FijiDrvc,Mitte_1_1,Café am Neuen See,52.5103772,13.3444862,4.3,restaurant,"Lichtensteinallee 2, Berlin"
ChIJo8ypraxRqEcRe1DSMHgmQeo,Mitte_1_1,Ja! Niko Ja!,52.5064856,13.3461229,4.7,restaurant,"Budapester Straße 13, Berlin"
ChIJi1YGXS9RqEcRcO1c6vkVVGY,Mitte_1_1,Aqua Bar & Lounge,52.50841329999999,13.3485723,5.0,bar,"Stülerstraße 6, Berlin"
ChIJx3GZIcpRqEcRd-TKQcgWDqE,Mitte_1_1,CARTE BLANCHE,52.5098284,13.34589,4.8,restaurant,"Das Stue, Drakestraße 1, Berlin"
ChIJF6VjuqxRqEcROxgoM4aP-eU,Mitte_1_1,Marlene Bar & Restaurant,52.5068748,13.3452007,4.4,restaurant,"Budapester Straße 2, Berlin"
ChIJo8ypraxRqEcRNCJfM5ToYrQ,Mitte_1_1,La Sardegna,52.5065488,13.3463547,4.3,restaurant,"Budapester Straße 11, Berlin"
ChIJ-SOAoSJRqEcRtZxMk2ozjVg,Mitte_1_1,RomanTisch Bistro,52.50786,13.34385,5.0,restaurant,"Parkside, Katharina-Heinroth-Ufer 1, Berlin"
ChIJMUVXc7dRqEcRZZgIVIbdQn4,Mitte_1_2,Restaurant JW Market,52.5075241,13.3636672,5.0,restaurant,"Stauffenbergstraße 26, Berlin"
ChIJ-7DqKWJRqEcROwyvIAkPgY4,Mitte_1_2,JW Steakhouse Berlin,52.5071015,13.3633639,4.5,restaurant,"Stauffenbergstraße 26, Berlin"
ChIJZ4C9pMlRqEcRObDROnomoDg,Mitte_1_3,Lindenbräu am Potsdamer Platz,52.5102081,13.3728723,4.1,bar,"Bellevuestraße 3-5, Berlin"
ChIJ_TV7Tv1RqEcR9d7hiZHazgs,Mitte_1_3,Café und Restaurant im Kulturforum,52.50851549999999,13.3660028,2.8,restaurant,"Matthäikirchplatz, Berlin"
ChIJs89jfQBRqEcRh7yRGUl-Q_4,Mitte_1_3,Alois Moser Alpenküche To Go II,52.50813979999999,13.3674184,,restaurant,"Matthäikirchplatz, Berlin"
ChIJtWFWi7VRqEcRAwShfbDdjsc,Mitte_1_3,Chez Ahmet,52.5070275,13.3685252,4.3,meal_takeaway,"Potsdamer Straße 50, Berlin"
ChIJv0r6cQBRqEcRXExbc-dbwxc,Mitte_1_3,STABI KANTINE Potsdamer Straße,52.5085345,13.3714037,5.0,restaurant,"Potsdamer Straße 31, Berlin"
ChIJjYLGAaBRqEcRFEIlu68_N_c,Mitte_1_3,Jian Bing Town @ Kerb Berlin,52.50978449999999,13.3726828,4.4,restaurant,"Kerb Food Hall, Potsdamer Straße 4, Berlin"
ChIJj7sPGABRqEcR6TguavSu_9g,Mitte_1_3,Fräulein Kimchi @ Kerb Food Hall,52.50967960000001,13.3727283,4.5,restaurant,"Kerb Food Hall, Potsdamer Straße 4, Berlin"
ChIJDYRdNwBRqEcRHiouqowEsEg,Mitte_1_3,Nepal Momo,52.50967960000001,13.3727283,4.5,restaurant,"Potsdamer Straße 4, Berlin"
ChIJc_bFCgBRqEcRDZfpODGZN4s,Mitte_1_3,Bella Pasta Fresca,52.50967960000001,13.3727283,4.3,restaurant,"Potsdamer Straße 4, Berlin"
ChIJjdxZF8lRqEcREcbD8THB3gk,Mitte_1_4,Vapiano Restaurant,52.5102753,13.3763765,3.4,restaurant,"Potsdamer Platz 5, Berlin"
ChIJKfRTHslRqEcR4_gZ7GU02mo,Mitte_1_4,Midtown Grill,52.5110452,13.3765698,4.2,bar,"Ebertstraße 3, Berlin"
ChIJA-K5lEpQqEcRHGv7ScsVIXs,Mitte_1_4,Restaurant Facil,52.50898040000001,13.37369,4.8,restaurant,"Potsdamer Straße 3, Berlin"
ChIJ62vdeslRqEcRbrUUKkzfSMI,Mitte_1_4,essenza Potsdamer Platz 1,52.50909919999999,13.3753381,4.6,restaurant,"Kollhoff Tower, Potsdamer Platz 1, Berlin"
ChIJ62vdeslRqEcRKrs7Vqg7oEg,Mitte_1_4,MAREDO,52.5088362,13.3745573,4.4,restaurant,"Potsdamer Platz 1, Berlin"
ChIJr7mtJslRqEcRWYWVINsSbkg,Mitte_1_4,AMRIT,52.5105,13.37717,4.7,restaurant,"Ebertstraße 14, Berlin"
ChIJw20rws5RqEcRXv22WIrZ_HE,Mitte_1_4,Eleven Café Bar Lounge,52.5095464,13.3797719,3.8,restaurant,"Leipziger Platz 11, Berlin"
ChIJ62vdeslRqEcRaoetVqHKldE,Mitte_1_4,Pizza Hut,52.50890620000001,13.3748341,4.0,meal_takeaway,"Potsdamer Platz 1, Berlin"
ChIJKSv1gslRqEcRno1jZOCFm_8,Mitte_1_4,QIU - Bar & Restaurant,52.5090548,13.3739018,4.7,bar,"Potsdamer Straße 3, Berlin"
ChIJearFwMtRqEcRgQq18djfnYk,Mitte_1_4,Caffè e Gelato,52.507937,13.3740622,4.4,cafe,"Alte Potsdamer Straße 7, Berlin"
ChIJXwmOcMxRqEcRNBTTralHUOs,Mitte_1_4,Osteria Caruso,52.50634729999999,13.3770712,4.2,bar,"Köthener Straße 38, Berlin-Bezirk Friedrichshain-Kreuzberg"
ChIJF_IJEMlRqEcRstXKnn9KHyI,Mitte_1_4,Schiller Deli,52.5106601,13.3754981,4.6,cafe,"Inge Beisheim Platz 2, Berlin"
ChIJjwfvW8lRqEcRZP4YCjre6_c,Mitte_1_4,BackWerk,52.509806,13.376002,3.5,bakery,"Leipziger Platz 1, Berlin"
ChIJXcavuL4jZUERnMGGRXZICt4,Mitte_1_4,Asia Gourmet,52.5082596,13.3744559,3.4,restaurant,"Potsdamer Platz Arkaden, Alte Potsdamer Straße 7, Berlin"
ChIJTYcTLspRqEcRM50HDuvMReE,Mitte_1_4,Vox Restaurant & Bar,52.5079406,13.3727301,4.4,restaurant,"Marlene-Dietrich-Platz 2, Berlin"
ChIJZVxcustRqEcRpVvlwcT7ntU,Mitte_1_4,EAT HAPPY,52.507908,13.374846,4.3,meal_takeaway,"Alte Potsdamer Straße 7, Berlin"
ChIJaxrxUclRqEcRdeGfwP_4yiE,Mitte_1_4,"dean&david | Bowls, Salate, Curries & Snacks in Berlin, Potsdamer Platz",52.5090844,13.3770907,4.5,restaurant,"Potsdamer Platz 8, Berlin"
ChIJBb6x285RqEcR0Y9jjPOSLeY,Mitte_1_4,Beef Grill Club by Hasir,52.51022829999999,13.3794314,4.0,restaurant,"Leipziger Platz 12, Berlin"
ChIJ1Qaw3M5RqEcRcH-jWrYAs0k,Mitte_1_4,McDonald's,52.51026,13.3795719,3.4,restaurant,"Leipziger Platz 12-13, Berlin"
ChIJMXwn3M5RqEcR6IOb9PZZ3p8,Mitte_1_4,Vinatown,52.5102956,13.3798588,2.5,restaurant,"Leipziger Platz 12, Berlin"
ChIJc7HF3s5RqEcRhSeqm1Lyqcs,Mitte_1_4,Pizza Hut,52.5104077,13.3799177,4.5,meal_takeaway,"Mall Of Berlin, Leipziger Platz 12, Berlin"
ChIJ8WVx3s5RqEcRGodWr8BC44I,Mitte_1_4,Hasir HB Burger,52.51031099999999,13.3800676,3.9,restaurant,"Leipziger Platz 12, Berlin"
ChIJu1DdKcpRqEcRh-c0stBgbxo,Mitte_1_4,Posh Bar,52.5086604,13.3729704,4.6,bar,"Voxstraße 4, Berlin"
ChIJK3qU4M5RqEcR_92T9Shq_R4,Mitte_1_4,Hummus Company,52.51034260000001,13.3803824,4.2,restaurant,"Leipziger Platz 12, Berlin"
ChIJTYcTLspRqEcRLAWf3V5S3UQ,Mitte_1_4,Bistro Mitte,52.508222,13.3723692,4.0,night_club,"Marlene-Dietrich-Platz 2, Berlin"
ChIJ1wgPOcpRqEcR2KtQKnCwzQg,Mitte_1_4,Weilands am Potsdamer Platz,52.5061048,13.3726218,4.7,restaurant,"Eichhornstraße 3, Berlin"
ChIJw5jDwa1RqEcRZHHWTmCI3bQ,Mitte_1_4,Pick & Cheese - Berlin,52.5100616,13.3730124,4.8,restaurant,"Erster Stock, Potsdamer Straße 2, Berlin"
ChIJwRNUdgBRqEcREAlOeZkdW2A,Mitte_1_4,Monte Mente Restaurant,52.51026470000001,13.3734707,4.5,restaurant,"Bellevuestraße 5, Berlin"
ChIJN7EHFABRqEcROCKQJ0Er-tM,Mitte_1_4,KASUTEIRA matcha desserts and drinks,52.5097507,13.3736122,4.6,restaurant,"Potsdamer Straße 2, Berlin"
ChIJYb_v1rtRqEcRNNo42snZ640,Mitte_1_4,Bella gastronomy,52.5097229,13.3736034,,restaurant,"Potsdamer Straße 2, Berlin"
ChIJc0TQMQBRqEcRbzgUHwAH6Js,Mitte_1_4,Moroccan Bab,52.5097229,13.3736034,4.3,restaurant,"Kerb Food Hall, Potsdamer Straße 2, Berlin"
ChIJ9e0WRhlRqEcRiLBvNqhk9qY,Mitte_1_4,Saya’s Nepal Momo,52.5097229,13.3736034,4.7,restaurant,"Kerb food hall, Potsdamer Straße 2, Berlin"
ChIJt2aHcQNRqEcR1dDVBGPquHs,Mitte_1_4,Grindhouse Burgers | KERB,52.5097229,13.3736034,4.4,restaurant,"Potsdamer Straße 2, Berlin"
ChIJbY57A7NRqEcRhMSgyEvxIFw,Mitte_1_4,Moksa,52.5097229,13.3736034,4.7,restaurant,"Kerb Food Hall, Potsdamer Straße 2, Berlin"
ChIJKcBEkEpRqEcRcdvy6a3boT0,Mitte_1_4,El Amigo Taqueria @ KERB,52.5097229,13.3736034,4.5,restaurant,"Potsdamer Straße 2, Berlin"
ChIJ0ZKOALdRqEcRlf8mH0Tm_s0,Mitte_1_4,KERB Berlin,52.5097229,13.3736034,4.4,bar,"Potsdamer Straße 2, Berlin"
ChIJhax8jJZTqEcRzRfxzFlYYp0,Mitte_1_4,Butter Bronsons,52.5097229,13.3736034,4.6,restaurant,"Kerb Berlin, Potsdamer Straße 2, Berlin"
ChIJCbClkfdRqEcRBtQgxmTrcko,Mitte_1_4,Burgermeister Potsdamer Platz,52.5097229,13.3736034,4.3,restaurant,"Potsdamer Straße 2, Berlin"
ChIJ_wSw4BJRqEcRy199DIRHJ2c,Mitte_1_4,Das Center am Potsdamer Platz,52.5095667,13.3735204,4.3,tourist_attraction,"Potsdamer Straße 2, Berlin"
ChIJoaM6SmlRqEcRW2TESRa6D8A,Mitte_1_4,Frederick's,52.50983189999999,13.3741436,4.1,restaurant,"Bellevuestraße 1, Berlin"
ChIJqVBfj0FRqEcRuCwEQ9rYQgg,Mitte_1_4,Dunkin' Donuts,52.50961280000001,13.374106,3.2,bakery,"Potsdamer Straße 2, Berlin"
ChIJEftwNdRRqEcRBO2eMor1m_E,Mitte_1_4,Borkowskis Original Berliner Currywurst,52.5092094,13.3746387,3.8,meal_takeaway,"Potsdamer Straße 1, Berlin"
ChIJ24TpWgBRqEcRucb6ohGIU0o,Mitte_1_4,goldies,52.5090687,13.3744621,4.4,restaurant,"Potsdamer Platz 1, Berlin"
ChIJx5jkg91RqEcRkpYlYccR9IA,Mitte_1_4,Secret Champagne Garden,52.5102754,13.3752548,4.7,bar,"The Ritz-Carlton, Berlin, Potsdamer Platz 3, Berlin"
ChIJN-u-iqpRqEcRq9dzrzobv3Y,Mitte_1_4,POTS,52.5102754,13.3752548,4.6,restaurant,"Potsdamer Platz 3, Berlin"
ChIJz2RXTQBRqEcRBhVex6ryxWg,Mitte_1_4,Griller‘s Delight,52.5090075,13.3745309,3.7,restaurant,"Potsdamer Platz, Berlin"
ChIJQ9oatEZRqEcRlRVb2Cpqx1w,Mitte_1_4,Saravanaa Bhavan,52.51023989999999,13.3760893,4.6,restaurant,"Potsdamer Platz 5, Berlin"
ChIJ0flF1S1RqEcRCd7Lsdgoe-M,Mitte_1_4,Saku,52.5083056,13.3745303,4.6,meal_takeaway,"Alte Potsdamer Straße 7/1 UG, Berlin"
ChIJZaTSRI9RqEcRaBakN9tY9f0,Mitte_1_4,Paulaner,52.5084465,13.3751769,4.4,restaurant,"Alte Potsdamer Straße 1, Berlin"
ChIJXayCywRRqEcROxgJN9N1kH0,Mitte_1_4,Waffle Brothers,52.50818849999999,13.3746275,4.4,restaurant,"Alte Potsdamer Straße 7, Berlin"
ChIJKfRTHslRqEcRxMVdWKeYJIY,Mitte_1_4,The Big Dog,52.5108899,13.3764026,4.1,restaurant,"Ebertstraße 3, Berlin"
ChIJORRB0MtRqEcRkATo4vciIwo,Mitte_1_4,Masti Indian Kitchen,52.5080035,13.3741459,1.0,restaurant,"Alte Potsdamer Straße 7, Berlin"
ChIJi7ut2dVRqEcRh7zELzZbBM0,Mitte_1_4,Five Guys Burgers and Fries Berlin Potsdamer Platz,52.50847,13.37567,3.7,meal_takeaway,"Potsdamer Platz 11, Berlin"
ChIJX2xlWihRqEcRYE_aELQHCro,Mitte_1_4,Vincent,52.5079552,13.374126,4.6,restaurant,"Alte Potsdamer Straße 7, Berlin"
