restaurant_id,district,r_name,r_latitude,r_longitude,rating,category,address
ChIJI_4-oM9RqEcRgazfdDzpfkA,Prenzlauer_Berg_1_1,Peking Ente Berlin,52.511512,13.3828664,4.1,restaurant,"Voßstraße 1, Berlin"
ChIJ8WOW3M5RqEcRaVLNz1x1ROc,Prenzlauer_Berg_1_1,Al Teatro,52.5107254,13.3809002,3.1,night_club,"Leipziger Platz 12, Berlin"
ChIJbV8NisVRqEcRcwXmDhxWu_0,Prenzlauer_Berg_1_1,YAKOOLZA,52.5131242,13.3820405,4.1,restaurant,"Wilhelmstraße 87, Berlin"
ChIJHVsz4s5RqEcRUiqCHNs_Pq0,Prenzlauer_Berg_1_1,Manju Indian Express,52.5103673,13.3808291,4.5,restaurant,"Voßstraße 35, Berlin"
ChIJe6k6TsVRqEcRLrgCJhwJWzs,Prenzlauer_Berg_1_1,Intermezzo,52.5129214,13.3866985,4.0,restaurant,"Glinkastraße 24, Berlin"
ChIJK3qU4M5RqEcR_92T9Shq_R4,Prenzlauer_Berg_1_1,Hummus Company,52.51034260000001,13.3803824,4.2,restaurant,"Leipziger Platz 12, Berlin"
ChIJ8WVx3s5RqEcRGodWr8BC44I,Prenzlauer_Berg_1_1,Hasir HB Burger,52.51031099999999,13.3800676,3.9,restaurant,"Leipziger Platz 12, Berlin"
ChIJ2Zpoi8VRqEcR13biB23Myss,Prenzlauer_Berg_1_1,Caffe Bar Italia,52.5132837,13.3819872,4.6,restaurant,"Wilhelmstraße 86, Berlin"
ChIJc7HF3s5RqEcRhSeqm1Lyqcs,Prenzlauer_Berg_1_1,Pizza Hut,52.5104077,13.3799177,4.5,meal_takeaway,"Mall Of Berlin, Leipziger Platz 12, Berlin"
ChIJMXwn3M5RqEcR6IOb9PZZ3p8,Prenzlauer_Berg_1_1,Vinatown,52.5102956,13.3798588,2.5,restaurant,"Leipziger Platz 12, Berlin"
ChIJjWSRFtBRqEcReqmdfCNIYQw,Prenzlauer_Berg_1_1,Savory Chay,52.51127090000001,13.3881581,4.6,restaurant,"Kronenstraße 70, Berlin"
ChIJWcEkQ2ZOqEcR_kuVEJM_5zk,Prenzlauer_Berg_1_1,Steel Vintage Bikes Café,52.5127147,13.3822253,4.5,restaurant,"Wilhelmstraße 91, Berlin"
ChIJby_OmM9RqEcRAkdmpR-FbBY,Prenzlauer_Berg_1_1,Döner Restaurant Berlin Mitte,52.5117229,13.3835554,4.8,meal_takeaway,"Wilhelmstraße 45, Berlin"
ChIJ8TrsewZRqEcRConXp4QJLyo,Prenzlauer_Berg_1_1,EAT HAPPY,52.511838,13.383851,,meal_takeaway,"Anton-Wilhelm-Amo-Straße 69, Berlin"
ChIJAa99plpRqEcRVWoK8SbddTg,Prenzlauer_Berg_1_1,Viti Restaurant Berlin,52.51172870000001,13.3827809,4.5,restaurant,"Wilhelmstraße 94, Berlin"
ChIJvwY3qs9RqEcRKrNutWABPIU,Prenzlauer_Berg_1_1,Juno Fresh,52.5105965,13.3825597,3.4,restaurant,"Leipziger Platz 12, Berlin"
ChIJn7SPr6dRqEcRzori-OnNLHY,Prenzlauer_Berg_1_1,"EXITROOM Burger, Coffee, Waffles & Cocktails",52.51236,13.382436,4.7,restaurant,"Wilhelmstraße 92, Berlin"
ChIJyYcIWthRqEcRoT07hLjqD2Q,Prenzlauer_Berg_1_1,essenza Leipziger Straße 125 GmbH,52.5102388,13.3833716,4.6,restaurant,"Leipziger Straße 125, Berlin"
ChIJi_jZoqpRqEcRjpWxE8tFl2w,Prenzlauer_Berg_1_1,Sushi Panda Berlin,52.51012669999999,13.3822628,4.7,restaurant,"Leipziger Straße 128, Berlin"
