restaurant_id,district,r_name,r_latitude,r_longitude,rating,category,address
ChIJpx6eQUxFqEcRLwXCZqvOei4,Tempelhof_1_4,Ristorante Roma,52.44484749999999,13.3745712,4.6,meal_delivery,"Gersdorfstraße 65, Berlin"
ChIJFVcHa31FqEcRDDWrq_yGSn0,Tempelhof_1_4,ARSLAN DÖNER,52.44652989999999,13.3719454,4.4,restaurant,"Gersdorfstraße 42, Berlin"
ChIJ67NlQUxFqEcR-50ZMwmZE7Q,Tempelhof_1_4,Piccola Roma,52.4449993,13.3747241,3.9,meal_delivery,"Kaiserstraße 5, Berlin"
ChIJpwCVbABFqEcRxlfmHZNfsF8,Tempelhof_1_4,Café Convivialità,52.4446636,13.3721785,4.7,restaurant,"Kaiserstraße 145, Berlin"
ChIJ24WMbk5FqEcRC1blb1ARrI4,Tempelhof_1_5,Aristoteles Restaurant,52.4466985,13.3789964,4.2,restaurant,"Königstraße 44, Berlin-Bezirk Tempelhof-Schöneberg"
ChIJHbWFy0FFqEcR0kizwzYHSO8,Tempelhof_1_5,Simo Smash Burger,52.4455287,13.3799849,4.4,restaurant,"Kaiserstraße 123, Berlin-Bezirk Tempelhof-Schöneberg"
ChIJIYaKk05FqEcRCNxFFX0HfI4,Tempelhof_1_5,Ristorante La Piazza,52.4448229,13.3781786,4.5,restaurant,"Riegerzeile 1, Berlin-Bezirk Tempelhof-Schöneberg"
ChIJ5eJfBVs7ZUER7pViKMhdA0k,Tempelhof_1_6,Remise No. 1,52.4444986,13.3854179,3.9,night_club,"Mariendorfer Damm 90, Berlin-Bezirk Tempelhof-Schöneberg"
ChIJNe78j09FqEcRtjypN3HcnzE,Tempelhof_1_6,Tiamo,52.44566649999999,13.3843135,4.2,meal_delivery,"Kaiserstraße 112, Berlin"
ChIJlcmnpAdFqEcRlJa-bTm6vnA,Tempelhof_1_6,Falafel & Kebab Kultur,52.44573070000001,13.3851289,4.9,restaurant,"Kaiserstraße 109, Berlin-Bezirk Tempelhof-Schöneberg"
ChIJvyrgPbpFqEcRbV7VGib32oM,Tempelhof_1_6,Bierstübl,52.4450176,13.3855875,4.0,bar,"Mariendorfer Damm 86, Berlin"
ChIJI18v-k9FqEcRcVKty3_femY,Tempelhof_1_6,Basileus Pizza & Döner,52.44714079999999,13.3851915,4.6,meal_takeaway,"Mariendorfer Damm 62, Berlin-Bezirk Tempelhof-Schöneberg"
ChIJ4Q2MabRFqEcR70T1QOoJiRM,Tempelhof_1_6,Balkan Grillhaus,52.44478179999999,13.385679,4.6,restaurant,"Mariendorfer Damm 90, Berlin-Bezirk Tempelhof-Schöneberg"
ChIJpeehloZFqEcRwsFvFYj8B88,Tempelhof_1_6,Phan Kitchen,52.4451022,13.386148,4.5,restaurant,"Mariendorfer Damm 85, Berlin"
ChIJpzC8bkVFqEcR_aoXP4liH2U,Tempelhof_1_7,Curry Kiste,52.4457984,13.3867052,4.6,meal_takeaway,"Westphalweg 46, Berlin"
ChIJdewa6ERFqEcR3gEUleTgbgI,Tempelhof_1_7,Bei Radi,52.4458355,13.3899915,4.7,restaurant,"Westphalweg 28, Berlin-Bezirk Tempelhof-Schöneberg"
ChIJ11Q6xlZFqEcR2frNZ4lf_kI,Tempelhof_1_7,Arona Mini Pizza U-Bhf Westphalweg,52.44580020000001,13.3866155,4.1,meal_takeaway,"Mariendorfer Damm 77, Berlin"
ChIJKRgGuchLqEcR8nRbCvHLX8M,Tempelhof_1_8,Ristorante Sempre,52.4474065,13.392797,4.3,restaurant,"Eisenacher Straße 19, Berlin-Bezirk Tempelhof-Schöneberg"
ChIJ10N6Pl1FqEcRW-MzVLkfu5w,Tempelhof_1_9,Kitane Berlin-Trade4You,52.4472482,13.3989838,4.6,bakery,"Eisenacher Straße 51, Berlin-Bezirk Tempelhof-Schöneberg"
ChIJP5Pm72dFqEcR0vBhjV5FT6Q,Tempelhof_1_10,Restaurant Split in Berlin,52.44650619999999,13.4021977,4.4,restaurant,"Rixdorfer Straße 89, Berlin-Bezirk Tempelhof-Schöneberg"
ChIJcW9n8mdFqEcRMdC9uGXxrpI,Tempelhof_1_10,Michelangelo,52.4470361,13.4017191,4.3,restaurant,"Rixdorfer Straße 86, Berlin-Bezirk Tempelhof-Schöneberg"
ChIJKUNHOQBFqEcREIQSi3lt7MA,Tempelhof_1_10,Gandhi Afghandarbar,52.44672749999999,13.4019777,,restaurant,Berlin-Tempelhof-Schöneberg
ChIJJV9643pFqEcRxlSDTnj1YSE,Tempelhof_1_12,Guter Wille Pascham,52.44604959999999,13.4164253,4.4,bar,"Kol.Guter Wille 1, Berlin-Bezirk Neukölln"
